Depth (cm),Age (ka BP),Ti/Ca
383.5,32.572,0.192
384,32.591,0.195
384.5,32.610,0.182
385,32.628,0.179
385.5,32.647,0.180
386,32.666,0.192
386.5,32.702,0.192
387,32.737,0.158
387.5,32.773,0.131
388,32.808,0.127
388.5,32.844,0.138
389,32.880,0.138
389.5,32.915,0.127
390,32.951,0.121
390.5,32.987,0.112
391,33.022,0.117
391.5,33.058,0.107
392,33.094,0.107
392.5,33.129,0.101
393,33.165,0.100
393.5,33.200,0.099
394,33.236,0.102
394.5,33.272,0.122
395,33.307,0.115
395.5,33.343,0.091
396,33.378,0.085
396.5,33.414,0.088
397,33.450,0.085
397.5,33.485,0.085
398,33.521,0.091
398.5,33.557,0.093
399,33.592,0.094
399.5,33.628,0.113
400,33.664,0.127
400.5,33.699,0.104
401,33.735,0.093
401.5,33.770,0.092
402,33.806,0.099
402.5,33.842,0.101
403,33.877,0.096
403.5,33.913,0.093
404,33.948,0.103
404.5,33.984,0.099
405,34.020,0.102
405.5,34.055,0.103
406,34.091,0.098
406.5,34.127,0.097
407,34.162,0.112
407.5,34.198,0.116
408,34.234,0.116
408.5,34.269,0.107
409,34.305,0.110
409.5,34.340,0.121
410,34.376,0.107
410.5,34.412,0.098
411,34.447,0.098
411.5,34.483,0.097
412,34.518,0.104
412.5,34.554,0.097
413,34.590,0.112
413.5,34.625,0.099
414,34.661,0.083
414.5,34.680,0.097
415,34.698,0.087
415.5,34.717,0.126
416,34.736,0.121
416.5,34.754,0.124
417,34.773,0.132
417.5,34.792,0.132
418,34.810,0.151
418.5,34.829,0.142
419,34.848,0.132
419.5,34.867,0.119
420,34.885,0.133
420.5,34.904,0.154
421,34.923,0.157
421.5,34.941,0.154
422,34.960,0.182
422.5,34.979,0.192
423,34.997,0.179
423.5,35.016,0.183
424,35.035,0.199
424.5,35.053,0.151
425,35.072,0.102
425.5,35.091,0.084
426,35.110,0.116
426.5,35.128,0.189
427,35.147,0.187
427.5,35.166,0.189
428,35.184,0.137
428.5,35.203,0.198
429,35.222,0.206
429.5,35.240,0.215
430,35.259,0.241
430.5,35.278,0.248
431,35.296,0.233
431.5,35.315,0.235
432,35.334,0.245
432.5,35.352,0.245
433,35.371,0.271
433.5,35.390,0.277
434,35.408,0.262
434.5,35.427,0.265
435,35.446,0.251
435.5,35.465,0.303
436,35.483,0.283
436.5,35.502,0.295
437,35.521,0.275
437.5,35.539,0.309
438,35.558,0.306
438.5,35.577,0.313
439,35.595,0.289
439.5,35.614,0.254
440,35.633,0.160
440.5,35.651,0.146
441,35.670,0.211
441.5,35.689,0.321
442,35.708,0.243
442.5,35.726,0.224
443,35.745,0.251
443.5,35.764,0.237
444,35.782,0.212
444.5,35.801,0.203
445,35.820,0.220
445.5,35.838,0.209
446,35.857,0.211
446.5,35.878,0.197
447,35.898,0.189
447.5,35.919,0.193
448,35.939,0.168
448.5,35.960,0.145
449,35.980,0.120
449.5,36.001,0.127
450,36.021,0.128
450.5,36.042,0.126
451,36.062,0.103
451.5,36.083,0.120
452,36.103,0.100
452.5,36.124,0.095
453,36.144,0.098
453.5,36.165,0.133
454,36.186,0.178
454.5,36.206,0.156
455,36.227,0.103
455.5,36.247,0.101
456,36.268,0.091
456.5,36.288,0.097
457,36.309,0.097
457.5,36.329,0.093
458,36.350,0.098
458.5,36.370,0.090
459,36.391,0.091
459.5,36.411,0.086
460,36.432,0.088
460.5,36.452,0.084
461,36.473,0.083
461.5,36.494,0.084
462,36.514,0.087
462.5,36.535,0.090
463,36.555,0.087
463.5,36.576,0.083
464,36.596,0.106
464.5,36.617,0.090
465,36.637,0.076
465.5,36.658,0.077
466,36.678,0.062
466.5,36.699,0.080
467,36.719,0.081
467.5,36.740,0.076
468,36.761,0.081
468.5,36.781,0.090
469,36.802,0.088
469.5,36.822,0.073
470,36.843,0.072
470.5,36.863,0.079
471,36.884,0.095
471.5,36.904,0.091
472,36.925,0.090
472.5,36.945,0.094
473,36.966,0.092
473.5,36.986,0.091
474,37.007,0.082
474.5,37.027,0.070
475,37.048,0.070
475.5,37.069,0.083
476,37.089,0.083
476.5,37.110,0.081
477,37.130,0.081
477.5,37.151,0.102
478,37.171,0.099
478.5,37.192,0.098
479,37.212,0.096
479.5,37.233,0.101
480,37.253,0.097
480.5,37.274,0.100
481,37.294,0.098
481.5,37.315,0.098
482,37.335,0.096
482.5,37.356,0.096
483,37.377,0.101
483.5,37.397,0.099
484,37.418,0.101
484.5,37.438,0.100
485,37.459,0.098
485.5,37.479,0.092
486,37.500,0.105
486.5,37.520,0.094
487,37.541,0.093
487.5,37.561,0.107
488,37.582,0.105
488.5,37.602,0.107
489,37.623,0.100
489.5,37.644,0.100
490,37.664,0.102
490.5,37.685,0.117
491,37.705,0.123
491.5,37.726,0.124
492,37.746,0.120
492.5,37.767,0.124
493,37.787,0.123
493.5,37.808,0.123
494,37.828,0.117
494.5,37.849,0.122
495,37.869,0.124
495.5,37.890,0.132
496,37.910,0.143
496.5,37.931,0.150
497,37.952,0.148
497.5,37.972,0.151
498,37.993,0.152
498.5,38.013,0.167
499,38.034,0.177
499.5,38.054,0.208
500,38.075,0.203
500.5,38.095,0.204
501,38.116,0.208
501.5,38.136,0.219
502,38.157,0.210
502.5,38.177,0.214
503,38.198,0.238
503.5,38.218,0.131
504,38.239,0.154
504.5,38.250,0.253
505,38.260,0.272
505.5,38.271,0.276
506,38.282,0.289
506.5,38.293,0.287
507,38.303,0.292
507.5,38.314,0.288
508,38.325,0.273
508.5,38.336,0.277
509,38.346,0.288
509.5,38.357,0.211
510,38.368,0.274
510.5,38.379,0.290
511,38.389,0.313
511.5,38.400,0.327
512,38.411,0.337
512.5,38.422,0.318
513,38.432,0.361
513.5,38.443,0.315
514,38.454,0.294
514.5,38.465,0.348
515,38.475,0.382
515.5,38.486,0.397
516,38.497,0.397
516.5,38.507,0.374
517,38.518,0.406
517.5,38.529,0.371
518,38.540,0.390
518.5,38.550,0.420
519,38.561,0.424
519.5,38.572,0.418
520,38.583,0.445
520.5,38.593,0.374
521,38.604,0.393
521.5,38.615,0.379
522,38.626,0.398
522.5,38.636,0.431
523,38.647,0.400
523.5,38.658,0.413
524,38.669,0.374
524.5,38.679,0.371
525,38.690,0.309
525.5,38.701,0.309
526,38.712,0.327
526.5,38.722,0.300
527,38.733,0.345
527.5,38.744,0.426
528,38.754,0.417
528.5,38.765,0.352
529,38.776,0.302
529.5,38.787,0.272
530,38.797,0.252
530.5,38.808,0.288
531,38.819,0.313
531.5,38.830,0.413
532,38.840,0.388
532.5,38.851,0.386
533,38.862,0.396
533.5,38.873,0.433
534,38.883,0.446
534.5,38.894,0.440
535,38.905,0.327
535.5,38.916,0.455
536,38.926,0.440
536.5,38.937,0.376
537,38.948,0.403
537.5,38.959,0.359
538,38.969,0.357
538.5,38.980,0.317
539,38.991,0.298
539.5,39.001,0.359
