lat,lon,sampleID,siteID,entityID,elevation,d18,d13,age,Ref
-5.92,-77.35,42073,25,93,114,-7.076,-9.834,806,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42074,25,93,114,-7.078,-10.125,813,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42075,25,93,114,-7.048,-10.198,821,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42076,25,93,114,-7.149,-10.113,828,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42077,25,93,114,-6.997,-10.142,836,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42078,25,93,114,-7,-10.03,843,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42079,25,93,114,-7.073,-10.081,851,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42080,25,94,114,-6.912,-10.6712,100,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42081,25,94,114,-7.13725,-10.6489,104,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42082,25,94,114,-7.21812,-10.8209,108,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42083,25,94,114,-7.18144,-10.70833,112,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42084,25,94,114,-6.97929,-10.7507,117,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42085,25,94,114,-7.06475,-10.9054,121,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42086,25,94,114,-7.4022,-11.238,125,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42087,25,94,114,-7.2012,-10.5907,129,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42089,25,94,114,-6.96375,-10.33713,137,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42090,25,94,114,-6.93978,-10.7016,141,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42091,25,94,114,-7.17087,-10.64375,145,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42092,25,94,114,-7.28544,-10.882,150,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42093,25,94,114,-6.89689,-10.37562,154,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42094,25,94,114,-7.29478,-10.89988,158,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42095,25,94,114,-7.1821,-10.58588,162,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42096,25,94,114,-7.31888,-10.6112,166,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42097,25,94,114,-7.28271,-10.80171,170,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42099,25,94,114,-6.87714,-10.12833,179,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42100,25,94,114,-6.64186,-10.025,184,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42101,25,94,114,-8.08889,-10.776,189,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42102,25,94,114,-7.4375,-10.68733,195,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42103,25,94,114,-7.09833,-10.04878,200,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42104,25,94,114,-7.52975,-10.24289,206,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42105,25,94,114,-7.588,-10.52022,211,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42107,25,94,114,-7.3347,-10.3742,222,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42108,25,94,114,-7.06629,-10.1985,227,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42110,25,94,114,-7.049,-10.30343,238,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42111,25,94,114,-7.27144,-10.4424,244,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42112,25,94,114,-6.98438,-10.0866,249,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42113,25,94,114,-7.079,-10.14656,255,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42114,25,94,114,-7.2732,-10.4627,260,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42115,25,94,114,-6.90038,-9.9665,265,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42117,25,94,114,-7.4682,-10.0682,276,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42118,25,94,114,-7.094,-9.8265,282,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42119,25,94,114,-7.41167,-10.0229,287,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42120,25,94,114,-7.30278,-9.8227,293,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42121,25,94,114,-6.94186,-9.5706,298,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42123,25,94,114,-6.987,-9.40711,309,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42124,25,94,114,-7.2136,-9.6505,314,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42125,25,94,114,-7.3438,-9.9515,320,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42126,25,94,114,-7.344,-9.7121,325,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42127,25,94,114,-7.10063,-9.74737,331,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42128,25,94,114,-7.28229,-9.6029,336,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42129,25,94,114,-7.66137,-9.7252,342,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42131,25,94,114,-6.9384,-9.3513,352,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42132,25,94,114,-7.50357,-10.0574,358,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42133,25,94,114,-7.21333,-9.72456,363,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42134,25,94,114,-7.52567,-10.11911,369,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42135,25,94,114,-7.3691,-10.0629,374,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42136,25,94,114,-7.1902,-10.12922,380,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42137,25,94,114,-7.35056,-10.1868,385,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42138,25,94,114,-7.3376,-10.311,391,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42139,25,94,114,-7.59771,-10.4559,396,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42140,25,94,114,-7.22063,-9.9837,401,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42141,25,94,114,-7.56,-10.2311,407,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42142,25,94,114,-7.31433,-9.9195,412,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42143,25,94,114,-7.28,-10.1322,418,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42144,25,94,114,-7.41314,-10.0819,423,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42145,25,94,114,-7.45456,-10.2306,429,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42146,25,94,114,-7.45944,-10.3485,434,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42148,25,94,114,-7.31478,-10.1526,445,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42149,25,94,114,-7.13144,-9.904,448,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42150,25,94,114,-7.1522,-9.8542,452,van Breukelen et al. 2008; EPSL
